TradeDate,Open,High,Low,Close,Volume
2017-08-30,48.67,48.76,48.51,48.74,884731
2017-08-30,41.71,41.77,41.19,41.71,2641939
2017-08-30,45.36,45.54,45.29,45.45,7134910
2017-08-30,69.58,69.88,69.37,69.65,1943424
2017-08-30,71.10,71.26,70.78,71.30,2076750
2017-08-30,40.10,40.93,40.01,40.16,11902136
2017-08-30,68.73,69.18,68.54,68.59,1790849
2017-08-30,32.37,32.88,32.16,32.43,5479079
2017-08-30,107.88,109.14,107.11,108.47,623973
2017-08-30,42.63,43.49,42.42,42.85,6846918
2017-08-30,84.32,84.36,83.99,84.42,709048
2017-08-30,198.40,200.00,198.21,198.40,1127301
2017-08-30,246.55,248.31,245.47,246.15,443610
2017-08-30,28.55,28.70,28.42,28.57,4876736
2017-08-30,153.71,154.74,152.88,153.56,2493492
2017-08-30,16.05,16.68,16.05,16.39,8595740
2017-08-30,106.79,107.36,106.63,107.02,1967276
2017-08-30,31.26,31.41,31.19,31.26,775520
2017-08-30,49.69,50.66,49.50,49.78,6197489
2017-08-30,155.00,157.98,154.48,154.84,1580929
2017-08-30,76.09,76.66,75.98,76.09,3607038
2017-08-30,35.27,35.66,35.04,35.28,2878337
2017-08-30,81.83,82.27,81.72,81.99,1940347
2017-08-30,82.64,83.38,82.54,82.64,1228233
2017-08-30,57.06,57.60,56.80,57.07,1069909
2017-08-30,115.42,115.64,114.96,115.89,1809757
2017-08-30,94.30,95.08,94.02,94.26,816816
2017-08-30,46.46,47.00,46.10,46.62,5960151
2017-08-30,55.51,55.82,55.36,55.70,1879751
2017-08-30,30.75,31.20,30.51,30.99,3214434
2017-08-30,117.12,118.06,117.03,117.37,500763
2017-08-30,58.49,59.26,58.44,58.45,1775314
2017-08-30,22.45,22.48,22.17,22.45,2739080
2017-08-30,21.12,21.20,20.85,21.18,2501276
2017-08-30,57.56,57.90,57.05,57.77,1586876
2017-08-30,76.71,76.98,75.91,76.89,4236879
2017-08-30,79.76,80.16,79.34,79.70,2771319
2017-08-30,79.45,79.58,78.73,79.49,1726965
2017-08-30,83.88,84.77,83.63,83.85,477778
2017-08-30,63.85,64.98,63.74,64.22,4320993
2017-08-30,90.30,90.80,89.86,90.40,739939
2017-08-30,112.00,112.39,111.67,112.11,498531
2017-08-30,29.35,29.48,29.16,29.41,1979321
2017-08-30,81.73,83.28,81.66,82.24,1719022
2017-08-30,87.32,87.58,87.07,87.50,1425728
2017-08-30,84.59,84.76,84.08,84.70,754264
2017-08-30,40.63,41.04,40.57,40.67,1168185
2017-08-30,84.85,85.86,84.51,84.57,1962393
2017-08-30,70.50,71.16,70.49,70.52,2561602
2017-08-30,35.14,35.96,35.10,35.20,8288851
2017-08-30,130.87,131.04,130.46,130.87,606062
2017-08-30,80.30,80.55,80.19,80.45,1047290
2017-08-30,112.02,112.99,111.53,111.83,929201
2017-08-30,119.42,122.08,119.07,119.23,2193431
2017-08-30,58.36,58.68,58.31,58.35,1890906
2017-08-30,79.73,79.88,79.32,79.85,636461
2017-08-30,51.00,51.65,50.57,51.13,1536913
2017-08-30,82.92,83.98,82.32,83.15,2245659
2017-08-30,60.75,61.95,60.38,61.18,1399550
2017-08-30,140.57,141.71,140.56,140.80,221695
2017-08-30,N/A,466.79,463.43,466.24,325371
2017-08-30,67.07,67.31,66.53,67.15,1323675
2017-08-30,264.23,266.35,263.00,264.64,201592
2017-08-30,105.65,106.41,105.16,105.70,1805047
2017-08-30,63.33,63.44,63.00,63.29,883110
2017-08-30,251.91,253.91,250.93,252.49,405476
2017-08-30,38.22,38.22,37.79,38.22,4002276
2017-08-30,144.00,145.16,141.83,143.99,3355881
2017-08-30,55.96,56.37,55.70,55.90,984160
2017-08-30,61.09,61.56,60.91,61.38,1957415
2017-08-30,77.69,78.02,76.36,78.08,807869
2017-08-30,76.24,76.45,76.06,76.45,8217965
2017-08-30,117.92,119.22,117.56,117.74,478592
2017-08-30,168.17,170.18,167.63,168.05,11138293
2017-08-30,41.26,42.18,41.06,41.41,1810764
2017-08-30,125.55,126.54,123.92,125.71,276580
2017-08-30,212.18,214.49,211.56,211.30,1010673
2017-08-30,91.95,92.49,91.72,91.94,883042
2017-08-30,26.28,26.49,26.25,26.26,3905272
2017-08-30,32.68,32.82,32.54,32.66,3458174
2017-08-30,123.04,123.71,122.64,123.02,572912
2017-08-30,37.74,38.53,37.74,37.71,919306
2017-08-30,38.62,38.99,38.18,38.66,820396
2017-08-30,38.12,39.59,37.61,38.25,2182816
2017-08-30,84.18,84.56,84.05,84.43,591496
2017-08-30,35.37,35.42,34.89,35.16,3936544
2017-08-30,10.82,10.94,10.77,10.84,23629293
2017-08-30,64.42,64.94,64.35,64.46,1586256
2017-08-30,62.07,62.19,61.84,61.94,846336
2017-08-30,42.45,42.69,42.33,42.40,1083785
2017-08-30,15.15,15.17,14.54,15.21,23625880
2017-08-30,23.51,23.62,23.39,23.59,2400804
2017-08-30,51.39,51.85,51.28,51.49,743241
2017-08-30,118.11,120.63,118.11,118.08,487555
2017-08-30,200.95,201.26,200.07,200.95,893766
2017-08-30,24.49,24.49,24.15,24.44,33875996
2017-08-30,20.70,20.91,20.38,20.71,3121047
2017-08-30,53.95,54.12,53.43,53.93,3923453
2017-08-30,35.54,35.84,35.41,35.52,7263792
2017-08-30,81.87,83.04,81.63,81.83,621717
2017-08-30,75.82,81.44,75.74,75.74,35927090
2017-08-30,93.94,94.60,93.56,93.99,565803
2017-08-30,220.25,224.22,220.09,219.96,2411427
2017-08-30,30.23,30.24,29.87,30.20,2740920
2017-08-30,157.10,160.15,155.60,157.16,719402
2017-08-30,38.61,39.04,38.38,38.72,4481885
2017-08-30,24.29,24.33,24.03,24.39,3068861
2017-08-30,47.06,47.33,46.88,47.07,1151010
2017-08-30,121.56,122.39,121.16,121.51,938593
2017-08-30,54.12,54.66,53.64,54.10,1915000
2017-08-30,94.96,95.65,94.52,94.83,1117012
2017-08-30,77.47,77.70,76.85,77.59,1429189
2017-08-30,29.46,29.59,29.28,29.51,2782085
2017-08-30,43.11,43.16,42.28,43.13,1898595
2017-08-30,168.04,169.70,167.20,168.43,701364
2017-08-30,104.86,105.53,104.05,104.94,873725
2017-08-30,37.82,38.53,37.25,38.13,3510993
2017-08-30,17.88,17.99,17.77,17.92,6278045
2017-08-30,62.93,64.80,62.81,62.89,2070475
2017-08-30,37.76,38.07,37.54,37.77,1971643
2017-08-30,150.00,150.25,149.28,149.84,3640966
2017-08-30,137.63,138.13,137.08,137.63,1784080
2017-08-30,30.90,31.10,30.83,30.97,2425549
2017-08-30,17.66,18.05,17.60,17.68,5945175
2017-08-30,19.20,19.25,19.06,19.21,7960241
2017-08-30,255.65,255.65,253.26,255.67,617384
2017-08-30,12.56,12.71,12.54,12.59,4608222
2017-08-30,150.10,154.23,150.10,150.32,552972
2017-08-30,46.52,46.62,46.34,46.40,1691997
2017-08-30,136.75,137.22,136.30,136.85,1016927
2017-08-30,196.36,200.00,194.87,195.94,798799
2017-08-30,84.04,85.82,83.79,84.28,1521383
2017-08-30,34.75,34.96,34.63,34.73,18565007
2017-08-30,64.79,65.20,64.64,64.82,1473621
2017-08-30,143.26,143.28,142.41,143.14,2735966
2017-08-30,125.87,138.32,125.59,124.97,2758913
2017-08-30,53.29,53.92,53.01,53.20,1149174
2017-08-30,19.82,19.95,19.73,19.81,5404063
2017-08-30,135.67,137.37,135.67,135.95,256626
2017-08-30,137.79,140.14,137.76,138.01,1859200
2017-08-30,982.11,996.49,981.00,987.40,212249
2017-08-30,32.23,32.54,32.10,32.23,2307370
2017-08-30,39.11,39.58,38.97,39.24,1358005
2017-08-30,53.10,53.96,52.54,53.17,593933
2017-08-30,99.96,100.77,99.65,100.06,1297447
2017-08-30,104.77,105.11,103.50,104.70,1772435
2017-08-30,132.00,132.00,130.90,132.21,5430781
2017-08-30,38.93,39.22,38.68,38.75,3427063
2017-08-30,91.25,91.88,91.19,91.10,9165342
2017-08-30,27.42,27.65,27.26,27.33,2508867
2017-08-30,102.80,103.09,102.06,102.97,2092686
2017-08-30,66.00,66.18,65.49,65.76,2120328
2017-08-30,17.30,17.41,17.22,17.25,6742602
2017-08-30,122.05,122.41,121.34,122.38,1089838
2017-08-30,19.25,19.45,19.00,19.29,2770785
2017-08-30,19.01,19.21,18.92,19.02,9498280
2017-08-30,92.17,93.60,92.16,92.39,538179
2017-08-30,39.14,39.72,38.86,39.15,3721709
2017-08-30,81.50,82.19,81.23,81.44,3426840
2017-08-30,21.85,22.20,21.57,21.81,10805424
2017-08-30,36.58,36.96,36.01,36.52,3697427
2017-08-30,181.85,182.11,181.06,181.83,343866
2017-08-30,152.67,154.52,152.28,152.88,598109
2017-08-30,162.43,165.00,161.77,162.32,1571260
2017-08-30,45.28,46.15,45.17,45.27,1400678
2017-08-30,50.57,51.06,50.45,50.49,914545
2017-08-30,54.91,54.99,54.46,54.92,2050887
2017-08-30,23.71,23.87,23.69,23.69,820503
2017-08-30,79.10,80.77,78.75,78.55,5036911
2017-08-30,67.31,68.13,67.31,67.16,1012008
2017-08-30,33.92,34.30,33.86,33.92,737718
2017-08-30,306.42,307.22,305.50,306.32,1273020
2017-08-30,46.61,46.81,46.59,46.62,447656
2017-08-30,73.50,74.27,73.41,73.45,6621544
2017-08-30,89.42,90.95,89.37,89.60,2194192
2017-08-30,149.75,150.30,149.03,149.38,658285
2017-08-30,52.65,53.22,52.12,52.75,911539
2017-08-30,20.94,21.05,20.75,20.94,4482950
2017-08-30,10.81,10.93,10.64,10.88,8904797
2017-08-30,51.53,52.54,51.37,51.43,4249938
2017-08-30,100.76,103.75,100.56,100.23,1954360
2017-08-30,76.92,77.68,76.92,77.00,1269003
2017-08-30,202.88,215.00,202.35,202.82,1200309
2017-08-30,36.37,36.56,36.27,36.31,2264839
2017-08-30,133.93,134.24,133.48,133.84,3225061
2017-08-30,16.10,16.19,15.92,16.11,3123292
2017-08-30,95.19,95.88,94.92,95.36,573008
2017-08-30,158.40,159.64,158.32,158.44,2236471
2017-08-30,146.77,147.19,145.72,146.87,1002311
2017-08-30,79.70,79.92,79.34,79.72,3725782
2017-08-30,63.14,63.17,62.90,63.12,5022455
2017-08-30,46.84,47.21,46.63,46.73,4954847
2017-08-30,590.99,598.49,589.78,591.96,107075
2017-08-30,32.05,32.14,31.53,32.04,5344892
2017-08-30,42.31,42.38,41.89,42.32,2239443
2017-08-30,84.00,85.75,83.99,83.83,2855081
2017-08-30,31.65,31.68,31.38,31.48,17467885
2017-08-30,73.01,74.21,72.83,73.05,16897801
2017-08-30,105.65,106.62,105.11,105.78,327809
2017-08-30,248.81,251.04,248.09,248.57,316751
2017-08-30,89.43,89.98,89.43,89.39,711805
2017-08-30,41.76,42.31,40.39,41.89,27452227
2017-08-30,116.59,117.25,116.46,116.59,1233727
2017-08-30,55.33,56.13,55.27,55.37,1542507
2017-08-30,132.97,134.45,132.41,133.03,467491
2017-08-30,45.44,45.96,45.43,45.35,5672867
2017-08-30,19.90,19.90,19.67,19.94,2004824
2017-08-30,86.98,87.73,86.52,86.94,572475
2017-08-30,30.40,30.73,29.53,30.50,7085883
2017-08-30,75.15,75.53,75.05,75.21,585812
2017-08-30,30.28,30.47,29.93,30.36,2068258
2017-08-30,13.38,13.45,13.25,13.36,2187136
2017-08-30,37.98,38.26,37.84,38.03,1629484
2017-08-30,169.50,174.85,169.37,168.81,8034743
2017-08-30,47.45,47.79,47.27,47.59,4971443
2017-08-30,25.24,25.92,25.03,25.43,2264572
2017-08-30,37.98,38.10,37.80,38.04,3991519
2017-08-30,13.36,13.36,13.16,13.36,1641848
2017-08-30,13.65,13.75,13.50,13.70,618906
2017-08-30,150.42,150.84,150.17,150.72,1061563
2017-08-30,39.09,39.14,38.43,39.07,3337976
2017-08-30,52.80,52.96,52.25,52.73,7434491
2017-08-30,26.92,27.00,26.87,26.98,810254
2017-08-30,23.41,23.81,23.14,23.58,4219176
2017-08-30,44.53,45.09,44.23,44.54,1459868
2017-08-30,119.38,121.30,119.16,119.40,1195754
2017-08-30,88.35,88.70,88.10,88.12,709162
2017-08-30,270.81,271.21,269.80,270.72,304543
2017-08-30,24.94,24.97,24.63,24.95,2929910
2017-08-30,54.93,55.96,54.63,54.93,1504109
2017-08-30,165.50,166.13,164.27,164.70,9610039
2017-08-30,197.07,199.54,196.22,197.02,1033261
2017-08-30,58.86,59.23,58.69,59.08,2855922
2017-08-30,72.81,72.87,72.00,72.83,1613196
2017-08-30,52.88,54.25,52.80,53.22,3410206
2017-08-30,49.50,49.95,49.36,49.45,6957444
